,,Susp,,Conf,Harmean
Neuron #:37,Susp of = 0,0.607787242,Conf of = 0,0.013638578,0.026678497
Neuron #:30,Susp of = 0,0.607647049,Conf of = 0,0.058451047,0.106643771
Neuron #:46,Susp of > 0,0.590562875,Conf of > 0,0.155869459,0.246641823
Neuron #:59,Susp of > 0,0.578973849,Conf of > 0,0.028738432,0.054758809
Neuron #:44,Susp of > 0,0.564351542,Conf of > 0,0.587433025,0.57566101
Neuron #:65,Susp of > 0,0.547421732,Conf of > 0,0.409644423,0.468616006
Neuron #:109,Susp of = 0,0.545970563,Conf of = 0,0.19386264,0.286127452
Neuron #:13,Susp of > 0,0.544846234,Conf of > 0,0.264978081,0.356552173
Neuron #:116,Susp of > 0,0.543825509,Conf of > 0,0.371651242,0.441547916
Neuron #:67,Susp of > 0,0.541744512,Conf of > 0,0.094008768,0.160215403
Neuron #:106,Susp of > 0,0.541608524,Conf of > 0,0.67851924,0.602382496
Neuron #:86,Susp of > 0,0.538394426,Conf of > 0,0.609352168,0.571679868
Neuron #:99,Susp of = 0,0.537843925,Conf of = 0,0.62640039,0.578754201
Neuron #:97,Susp of > 0,0.537387833,Conf of > 0,0.124208475,0.201779008
Neuron #:55,Susp of = 0,0.536671499,Conf of = 0,0.559668777,0.547928938
Neuron #:49,Susp of > 0,0.535207114,Conf of > 0,0.485143692,0.508947225
Neuron #:88,Susp of > 0,0.534815232,Conf of > 0,0.211397954,0.303020231
Neuron #:124,Susp of > 0,0.532760097,Conf of > 0,0.62640039,0.575797978
Neuron #:45,Susp of > 0,0.532194427,Conf of > 0,0.653190453,0.586517214
Neuron #:81,Susp of = 0,0.53152629,Conf of = 0,0.269849001,0.357964215
Neuron #:42,Susp of = 0,0.530497122,Conf of = 0,0.246955675,0.337021811
Neuron #:20,Susp of = 0,0.529393438,Conf of = 0,0.304432538,0.386566484
Neuron #:19,Susp of > 0,0.527892323,Conf of > 0,0.30491963,0.386557208
Neuron #:51,Susp of > 0,0.52755081,Conf of > 0,0.612761812,0.566972572
Neuron #:74,Susp of = 0,0.527483082,Conf of = 0,0.245007306,0.334598879
Neuron #:52,Susp of > 0,0.526490779,Conf of > 0,0.564052606,0.544624817
Neuron #:5,Susp of > 0,0.526094278,Conf of > 0,0.529956162,0.528018159
Neuron #:96,Susp of > 0,0.52452811,Conf of > 0,0.656113005,0.582987853
Neuron #:61,Susp of = 0,0.52322272,Conf of = 0,0.840233804,0.644874859
Neuron #:40,Susp of > 0,0.522946553,Conf of > 0,0.402825134,0.455092802
Neuron #:43,Susp of > 0,0.522487108,Conf of > 0,0.938139308,0.671171887
Neuron #:39,Susp of > 0,0.52219905,Conf of > 0,0.942036045,0.671928066
Neuron #:34,Susp of > 0,0.520901806,Conf of > 0,0.761811982,0.618733877
Neuron #:33,Susp of > 0,0.520505325,Conf of > 0,0.596687774,0.555999073
Neuron #:118,Susp of = 0,0.520320931,Conf of = 0,0.607403799,0.560500097
Neuron #:102,Susp of > 0,0.519708776,Conf of > 0,0.258645884,0.345396624
Neuron #:75,Susp of = 0,0.519375793,Conf of = 0,0.089624939,0.152870174
Neuron #:77,Susp of > 0,0.51765056,Conf of > 0,0.283487579,0.366347567
Neuron #:29,Susp of = 0,0.516758956,Conf of = 0,0.446663419,0.479161224
Neuron #:89,Susp of > 0,0.516710533,Conf of > 0,0.84169508,0.640328204
Neuron #:54,Susp of > 0,0.51657658,Conf of > 0,0.852898198,0.643439721
Neuron #:76,Susp of = 0,0.516190515,Conf of = 0,0.599610326,0.554782093
Neuron #:27,Susp of = 0,0.514589866,Conf of = 0,0.48709206,0.500463534
Neuron #:31,Susp of = 0,0.514519714,Conf of = 0,0.056989771,0.102613732
Neuron #:28,Susp of = 0,0.51434408,Conf of = 0,0.703848027,0.594356282
Neuron #:105,Susp of > 0,0.514255401,Conf of > 0,0.867023868,0.645592411
Neuron #:108,Susp of > 0,0.514252331,Conf of > 0,0.544568924,0.528976609
Neuron #:26,Susp of > 0,0.513703414,Conf of > 0,0.557720409,0.534807743
Neuron #:84,Susp of = 0,0.513474259,Conf of = 0,0.793960058,0.623630644
Neuron #:57,Susp of > 0,0.513177498,Conf of > 0,0.773989284,0.617159936
Neuron #:113,Susp of > 0,0.512814086,Conf of > 0,0.736970287,0.604790318
Neuron #:78,Susp of > 0,0.512167654,Conf of > 0,0.627861666,0.564144151
Neuron #:79,Susp of = 0,0.512051095,Conf of = 0,0.798830979,0.624071815
Neuron #:14,Susp of = 0,0.51184452,Conf of = 0,0.801753531,0.624807796
Neuron #:0,Susp of = 0,0.511233932,Conf of = 0,0.489040429,0.499890972
Neuron #:101,Susp of > 0,0.510984484,Conf of > 0,0.486604968,0.498496828
Neuron #:80,Susp of = 0,0.510876242,Conf of = 0,0.246468583,0.332516812
Neuron #:2,Susp of = 0,0.510515733,Conf of = 0,0.528007793,0.519114452
Neuron #:4,Susp of > 0,0.510187398,Conf of > 0,0.490501705,0.500150921
Neuron #:123,Susp of > 0,0.510128888,Conf of > 0,0.930832927,0.659066411
Neuron #:25,Susp of > 0,0.50950275,Conf of > 0,0.420360448,0.460658739
Neuron #:93,Susp of > 0,0.509051498,Conf of > 0,0.940087677,0.660465259
Neuron #:36,Susp of > 0,0.508924359,Conf of > 0,0.448611788,0.476868612
Neuron #:48,Susp of = 0,0.50886724,Conf of = 0,0.731125183,0.600077302
Neuron #:35,Susp of = 0,0.508266544,Conf of = 0,0.12518266,0.200887956
Neuron #:126,Susp of > 0,0.508199405,Conf of > 0,0.846566001,0.635127434
Neuron #:15,Susp of = 0,0.507750058,Conf of = 0,0.361422309,0.422268828
Neuron #:100,Susp of > 0,0.507699148,Conf of > 0,0.966390648,0.66567954
Neuron #:8,Susp of > 0,0.50701701,Conf of > 0,0.847540185,0.634476406
Neuron #:68,Susp of > 0,0.506798701,Conf of > 0,0.559668777,0.531923223
Neuron #:7,Susp of > 0,0.506788886,Conf of > 0,0.785679493,0.61614449
Neuron #:82,Susp of = 0,0.506282122,Conf of = 0,0.204091573,0.290911433
Neuron #:91,Susp of = 0,0.505956333,Conf of = 0,0.671212859,0.576984853
Neuron #:92,Susp of > 0,0.505590249,Conf of > 0,0.504627375,0.505108353
Neuron #:62,Susp of > 0,0.505483162,Conf of > 0,0.628348758,0.560258909
Neuron #:122,Susp of = 0,0.50547732,Conf of = 0,0.768144179,0.609725042
Neuron #:9,Susp of > 0,0.505442712,Conf of > 0,0.13248904,0.209946032
Neuron #:104,Susp of = 0,0.505227614,Conf of = 0,0.630297126,0.560874637
Neuron #:94,Susp of = 0,0.505216337,Conf of = 0,0.554797857,0.528847524
Neuron #:83,Susp of = 0,0.505069023,Conf of = 0,0.611300536,0.553130389
Neuron #:21,Susp of = 0,0.504857228,Conf of = 0,0.412566975,0.454070034
Neuron #:117,Susp of > 0,0.504603805,Conf of > 0,0.970774476,0.664041894
Neuron #:1,Susp of = 0,0.50429597,Conf of = 0,0.83925962,0.630022676
Neuron #:64,Susp of = 0,0.50343307,Conf of = 0,0.516317584,0.509793929
Neuron #:69,Susp of > 0,0.503332152,Conf of > 0,0.40428641,0.448404996
Neuron #:10,Susp of = 0,0.503205119,Conf of = 0,0.323429128,0.393768328
Neuron #:22,Susp of > 0,0.503050568,Conf of > 0,0.237700925,0.322849394
Neuron #:121,Susp of > 0,0.503000718,Conf of > 0,0.411592791,0.452728928
Neuron #:47,Susp of > 0,0.502895366,Conf of > 0,0.474914759,0.488504722
Neuron #:73,Susp of = 0,0.502792234,Conf of = 0,0.769605455,0.608224377
Neuron #:110,Susp of = 0,0.502742974,Conf of = 0,0.330735509,0.398990392
Neuron #:16,Susp of > 0,0.502741259,Conf of > 0,0.734047735,0.596764823
Neuron #:115,Susp of > 0,0.502559839,Conf of > 0,0.816853385,0.622273142
Neuron #:63,Susp of > 0,0.502523061,Conf of > 0,0.748660497,0.601381247
Neuron #:127,Susp of > 0,0.502039712,Conf of > 0,0.636142231,0.561190879
Neuron #:18,Susp of > 0,0.502027749,Conf of > 0,0.978567949,0.663608932
Neuron #:3,Susp of > 0,0.501949439,Conf of > 0,0.465172918,0.482861932
Neuron #:85,Susp of > 0,0.501883056,Conf of > 0,0.923039454,0.650221832
Neuron #:71,Susp of > 0,0.501632923,Conf of > 0,0.839746712,0.628076626
Neuron #:24,Susp of = 0,0.501617635,Conf of = 0,0.179249878,0.264118638
Neuron #:66,Susp of > 0,0.501177436,Conf of > 0,0.555772041,0.527064751
Neuron #:119,Susp of > 0,0.501097751,Conf of > 0,0.918168534,0.648352169
Neuron #:11,Susp of = 0,0.500944865,Conf of = 0,0.818314661,0.621455475
Neuron #:17,Susp of > 0,0.500666183,Conf of > 0,0.53433999,0.5169553
Neuron #:32,Susp of = 0,0.500356126,Conf of = 0,0.113005358,0.184370635
Neuron #:38,Susp of = 0,0.500350649,Conf of = 0,0.673161227,0.574031953
Neuron #:114,Susp of = 0,0.500318737,Conf of = 0,0.17730151,0.261820003
Neuron #:98,Susp of > 0,0.500167294,Conf of > 0,0.132001948,0.208877791
Neuron #:23,Susp of > 0,0.500165487,Conf of > 0,0.996103264,0.66594517
Neuron #:103,Susp of = 0,0.500004314,Conf of = 0,1,0.666670502
Neuron #:112,Susp of = 0,0.500004314,Conf of = 0,1,0.666670502
Neuron #:12,Susp of = 0,0.500004314,Conf of = 0,1,0.666670502
Neuron #:50,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:87,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:6,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:70,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:90,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:56,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:72,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:41,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:120,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:58,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:107,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:95,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:53,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:125,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:60,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:111,Susp of = 0,0.5,Conf of = 0,1,0.666666667
Neuron #:98,Susp of = 0,0.499974568,Conf of = 0,0.868086355,0.634505515
Neuron #:32,Susp of > 0,0.499954665,Conf of > 0,0.887155504,0.639513058
Neuron #:114,Susp of > 0,0.499931361,Conf of > 0,0.822924396,0.621996331
Neuron #:24,Susp of > 0,0.4996481,Conf of > 0,0.821906225,0.621486193
Neuron #:38,Susp of > 0,0.499279345,Conf of > 0,0.327782284,0.395750252
Neuron #:17,Susp of = 0,0.499237743,Conf of = 0,0.467081989,0.48262485
Neuron #:9,Susp of = 0,0.499179073,Conf of = 0,0.870364298,0.634470806
Neuron #:31,Susp of > 0,0.499148732,Conf of > 0,0.946226724,0.653543503
Neuron #:22,Susp of = 0,0.499056321,Conf of = 0,0.765181977,0.604109056
Neuron #:35,Susp of > 0,0.498839033,Conf of > 0,0.87888933,0.636445203
Neuron #:37,Susp of > 0,0.498776919,Conf of > 0,0.991198854,0.66361765
Neuron #:110,Susp of > 0,0.498655505,Conf of > 0,0.672873488,0.572810525
Neuron #:66,Susp of = 0,0.498534682,Conf of = 0,0.446839353,0.471273605
Neuron #:10,Susp of > 0,0.4984822,Conf of > 0,0.680690976,0.575508911
Neuron #:82,Susp of > 0,0.498414135,Conf of > 0,0.800973303,0.61446864
Neuron #:3,Susp of = 0,0.498316721,Conf of = 0,0.538440299,0.517602098
Neuron #:75,Susp of > 0,0.498170366,Conf of > 0,0.917062143,0.645622794
Neuron #:59,Susp of = 0,0.497990112,Conf of = 0,0.979101593,0.660193149
Neuron #:121,Susp of = 0,0.497922181,Conf of = 0,0.593318032,0.54145037
Neuron #:69,Susp of = 0,0.497763623,Conf of = 0,0.601066492,0.544559219
Neuron #:47,Susp of = 0,0.497409843,Conf of = 0,0.530553782,0.513447494
Neuron #:21,Susp of > 0,0.496644159,Conf of > 0,0.595371633,0.541544996
Neuron #:80,Susp of > 0,0.496542361,Conf of > 0,0.764025748,0.601905039
Neuron #:127,Susp of = 0,0.496473456,Conf of = 0,0.369026869,0.423366785
Neuron #:64,Susp of > 0,0.496386588,Conf of > 0,0.490724283,0.493539195
Neuron #:67,Susp of = 0,0.496033928,Conf of = 0,0.920479058,0.644665947
Neuron #:11,Susp of > 0,0.495788117,Conf of > 0,0.184772292,0.269213153
Neuron #:15,Susp of > 0,0.495717568,Conf of > 0,0.649610851,0.562325191
Neuron #:97,Susp of = 0,0.495114616,Conf of = 0,0.893074706,0.637051925
Neuron #:30,Susp of > 0,0.494560988,Conf of > 0,0.962258616,0.653334937
Neuron #:92,Susp of = 0,0.494431003,Conf of = 0,0.506531831,0.500408272
Neuron #:94,Susp of > 0,0.493648395,Conf of > 0,0.456658671,0.474433639
Neuron #:102,Susp of = 0,0.493471083,Conf of = 0,0.760971232,0.598699985
Neuron #:77,Susp of = 0,0.493344474,Conf of = 0,0.735844824,0.590673834
Neuron #:25,Susp of = 0,0.493327297,Conf of = 0,0.595319861,0.539545868
Neuron #:36,Susp of = 0,0.492966773,Conf of = 0,0.56712168,0.527450599
Neuron #:63,Susp of = 0,0.49263252,Conf of = 0,0.258857232,0.339383179
Neuron #:16,Susp of = 0,0.492586747,Conf of = 0,0.273957237,0.352093831
Neuron #:83,Susp of > 0,0.49223068,Conf of > 0,0.400969852,0.441938077
Neuron #:74,Susp of > 0,0.491686546,Conf of > 0,0.780523582,0.603316914
Neuron #:68,Susp of = 0,0.49161758,Conf of = 0,0.455347128,0.472787742
Neuron #:71,Susp of = 0,0.491614182,Conf of = 0,0.1657204,0.247881371
Neuron #:88,Susp of = 0,0.491424388,Conf of = 0,0.81612508,0.613458653
Neuron #:104,Susp of > 0,0.491332685,Conf of > 0,0.382746303,0.430294678
Neuron #:62,Susp of = 0,0.490995348,Conf of = 0,0.385283104,0.431762783
Neuron #:73,Susp of > 0,0.490893604,Conf of > 0,0.238942482,0.321429259
Neuron #:42,Susp of > 0,0.490748058,Conf of > 0,0.781438211,0.602882289
Neuron #:4,Susp of = 0,0.490569561,Conf of = 0,0.529086924,0.509100749
Neuron #:109,Susp of > 0,0.490076619,Conf of > 0,0.838783716,0.618677941
Neuron #:101,Susp of = 0,0.490015944,Conf of = 0,0.53431584,0.51120796
Neuron #:0,Susp of > 0,0.489700854,Conf of > 0,0.532452068,0.510182433
Neuron #:81,Susp of > 0,0.489274711,Conf of > 0,0.762161976,0.595965556
Neuron #:115,Susp of = 0,0.48889332,Conf of = 0,0.191468066,0.275169815
Neuron #:2,Susp of > 0,0.488738089,Conf of > 0,0.493744284,0.491228432
Neuron #:19,Susp of = 0,0.488673175,Conf of = 0,0.727302535,0.584572925
Neuron #:91,Susp of > 0,0.488265426,Conf of > 0,0.344590747,0.404035542
Neuron #:20,Susp of > 0,0.488137778,Conf of > 0,0.729373393,0.584856576
Neuron #:119,Susp of = 0,0.4880048,Conf of = 0,0.085854315,0.146019526
Neuron #:29,Susp of > 0,0.487244517,Conf of > 0,0.582307971,0.530551552
Neuron #:27,Susp of > 0,0.486890298,Conf of > 0,0.540528414,0.512309222
Neuron #:46,Susp of = 0,0.486231749,Conf of = 0,0.891935734,0.629368313
Neuron #:40,Susp of = 0,0.485626016,Conf of = 0,0.632526274,0.549426437
