Neuron,Fail Average ,Fail Rank,Pass Average ,Pass Rank,Sum of Ranks
308,0.027121447,65,0.001782051,379,444
362,0.019730664,80,0.001360957,369,449
311,0.035208826,55,0.003538331,401,456
318,0.053633803,29,0.007917573,433,462
307,0.048705496,37,0.007533859,428,465
270,0.019454254,82,0.003386704,399,481
356,0.035215958,54,0.007523045,427,481
406,0.012901976,104,0.002164592,385,489
264,0.012477287,108,0.002065595,383,491
512,0,274,-7.12E-04,217,491
106,0,277,-7.22E-04,215,492
487,0.002791424,178,4.82E-05,314,492
304,0.012616434,106,0.002337433,387,493
222,0.058915181,24,0.017167287,473,497
310,0.04918952,36,0.016365573,470,506
470,-0.010811283,448,-0.039855,63,511
495,0.011259469,114,0.003374103,398,512
447,-7.32E-04,363,-0.007505348,150,513
522,0,280,-3.57E-04,233,513
452,-0.007347954,426,-0.020316466,89,515
32,-0.004499149,405,-0.014430897,111,516
541,-0.017084166,473,-0.055695735,45,518
474,-0.002358501,388,-0.010200762,131,519
513,-0.008984208,434,-0.02434569,85,519
338,0,256,-2.39E-05,264,520
234,-0.015643523,465,-0.042921841,56,521
439,0.002002128,192,1.76E-04,329,521
138,-0.005707715,415,-0.01519028,107,522
102,0,269,-3.96E-05,254,523
267,0.003175094,173,5.18E-04,350,523
451,-0.020612687,491,-0.068457092,32,523
81,-0.010127733,440,-0.025532119,84,524
282,-0.015951001,467,-0.041495066,57,524
359,0.088835379,5,0.042322352,519,524
394,-0.004157057,402,-0.011696129,122,524
314,0.004425674,155,0.001405587,370,525
182,-0.006612859,421,-0.01545248,106,527
269,0.071795413,16,0.036717166,511,527
144,0,288,-2.00E-04,240,528
189,0.001105086,203,1.25E-04,325,528
355,0.037223627,50,0.018768372,478,528
437,-0.018205449,481,-0.05414076,47,528
0,1.38E-04,235,2.34E-06,294,529
35,-0.014077808,463,-0.038694953,66,529
331,0.004014365,162,0.00121747,367,529
175,5.04E-04,218,3.99E-05,312,530
174,0.056635056,28,0.032968904,503,531
274,0.010489345,119,0.005042658,413,532
335,0.005626856,148,0.002066064,384,532
374,-0.024833273,499,-0.066931221,33,532
