Neuron,Tarantula Susp,,Tarantula Conf,,Susp Rank,Conf RAnk,Sum of Ranks
Neuron #:2,Susp of > 0,0.904294241,Conf of > 0,0.633333333,18,89,107
Neuron #:80,Susp of = 0,0.658554617,Conf of = 0,0.866666667,62,47,109
Neuron #:41,Susp of = 0,0.50583691,Conf of = 0,1,109,1,110
Neuron #:42,Susp of = 0,0.502515562,Conf of = 0,1,113,1,114
Neuron #:17,Susp of > 0,0.500212206,Conf of > 0,1,115,1,116
Neuron #:44,Susp of > 0,0.500212206,Conf of > 0,1,115,1,116
Neuron #:75,Susp of > 0,0.500042427,Conf of > 0,1,116,1,117
Neuron #:111,Susp of > 0,0.500042427,Conf of > 0,1,116,1,117
Neuron #:126,Susp of > 0,0.920080408,Conf of > 0,0.533333333,16,102,118
Neuron #:99,Susp of > 0,0.5,Conf of > 0,1,118,1,119
Neuron #:69,Susp of = 0,0.5,Conf of = 0,1,118,1,119
Neuron #:105,Susp of > 0,0.5,Conf of > 0,1,118,1,119
Neuron #:12,Susp of > 0,0.5,Conf of > 0,1,118,1,119
Neuron #:18,Susp of = 0,0.5,Conf of = 0,1,118,1,119
Neuron #:64,Susp of = 0,0.864964039,Conf of = 0,0.6,24,95,119
Neuron #:55,Susp of > 0,0.795576146,Conf of > 0,0.633333333,34,89,123
Neuron #:76,Susp of > 0,0.521063977,Conf of > 0,0.966666667,102,22,124
Neuron #:25,Susp of > 0,0.750004545,Conf of > 0,0.7,39,85,124
Neuron #:62,Susp of = 0,0.829649444,Conf of = 0,0.6,31,95,126
Neuron #:82,Susp of > 0,0.756855959,Conf of > 0,0.633333333,38,89,127
Neuron #:52,Susp of = 0,0.972106834,Conf of = 0,0.366666667,8,119,127
Neuron #:48,Susp of > 0,0.491525424,Conf of > 0,1,127,1,128
Neuron #:78,Susp of > 0,0.491525424,Conf of > 0,1,127,1,128
Neuron #:57,Susp of > 0,0.491525424,Conf of > 0,1,127,1,128
Neuron #:127,Susp of > 0,0.532178266,Conf of > 0,0.933333333,94,34,128
Neuron #:8,Susp of > 0,0.846482565,Conf of > 0,0.533333333,27,102,129
Neuron #:53,Susp of > 0,0.888972696,Conf of > 0,0.5,21,108,129
Neuron #:79,Susp of > 0,0.981131028,Conf of > 0,0.3,6,124,130
Neuron #:6,Susp of > 0,0.564883976,Conf of > 0,0.866666667,85,47,132
Neuron #:38,Susp of = 0,0.940786323,Conf of = 0,0.366666667,13,119,132
Neuron #:94,Susp of > 0,0.492928984,Conf of > 0,0.994400136,126,9,135
Neuron #:124,Susp of > 0,0.500508132,Conf of > 0,0.966666667,114,22,136
Neuron #:39,Susp of = 0,0.891797821,Conf of = 0,0.4,20,116,136
Neuron #:102,Susp of > 0,0.99392815,Conf of > 0,0.166666667,2,134,136
Neuron #:116,Susp of > 0,0.656016921,Conf of > 0,0.733333333,63,74,137
Neuron #:4,Susp of > 0,0.96916372,Conf of > 0,0.266666667,9,128,137
Neuron #:45,Susp of > 0,0.49576029,Conf of > 0,0.983200407,122,16,138
Neuron #:47,Susp of > 0,0.766394642,Conf of > 0,0.533333333,36,102,138
Neuron #:46,Susp of = 0,0.840296592,Conf of = 0,0.5,30,108,138
Neuron #:37,Susp of > 0,0.913926799,Conf of > 0,0.333333333,17,121,138
Neuron #:90,Susp of > 0,0.990919791,Conf of > 0,0.166666667,4,134,138
Neuron #:118,Susp of = 0,0.992421691,Conf of = 0,0.133333333,3,135,138
Neuron #:3,Susp of = 0,0.701253233,Conf of = 0,0.633333333,50,89,139
Neuron #:11,Susp of > 0,0.76508869,Conf of > 0,0.533333333,37,102,139
Neuron #:5,Susp of = 0,0.852187745,Conf of = 0,0.466666667,26,113,139
Neuron #:58,Susp of = 0,0.988924316,Conf of = 0,0.166666667,5,134,139
Neuron #:49,Susp of > 0,1,Conf of > 0,0.066666667,1,138,139
Neuron #:84,Susp of = 0,0.961455317,Conf of = 0,0.266666667,12,128,140
Neuron #:49,Susp of = 0,0.482758621,Conf of = 0,1,140,1,141
Neuron #:29,Susp of = 0,0.483097841,Conf of = 0,0.998642457,138,3,141
Neuron #:122,Susp of > 0,0.876661753,Conf of > 0,0.366666667,22,119,141
Neuron #:48,Susp of = 0,1,Conf of = 0,0.033333333,1,140,141
Neuron #:57,Susp of = 0,1,Conf of = 0,0.033333333,1,140,141
Neuron #:78,Susp of = 0,1,Conf of = 0,0.033333333,1,140,141
Neuron #:31,Susp of = 0,0.483310096,Conf of = 0,0.997793993,137,6,143
Neuron #:65,Susp of > 0,0.738135872,Conf of > 0,0.533333333,41,102,143
Neuron #:97,Susp of > 0,0.925304502,Conf of > 0,0.233333333,14,130,144
Neuron #:68,Susp of > 0,0.96916372,Conf of > 0,0.133333333,9,135,144
Neuron #:29,Susp of > 0,0.98004324,Conf of > 0,0.066666667,7,138,145
Neuron #:61,Susp of > 0,0.524345672,Conf of > 0,0.866666667,99,47,146
Neuron #:19,Susp of > 0,0.596197749,Conf of > 0,0.766666667,75,71,146
Neuron #:101,Susp of = 0,0.607594106,Conf of = 0,0.733333333,72,74,146
Neuron #:81,Susp of = 0,0.590432089,Conf of = 0,0.766666667,77,71,148
Neuron #:88,Susp of = 0,0.817782,Conf of = 0,0.433333333,33,115,148
Neuron #:86,Susp of > 0,0.962436714,Conf of > 0,0.1,11,137,148
Neuron #:31,Susp of > 0,0.967969777,Conf of > 0,0.066666667,10,138,148
Neuron #:1,Susp of > 0,0.494032827,Conf of > 0,0.955879857,124,25,149
Neuron #:125,Susp of = 0,0.681429232,Conf of = 0,0.6,54,95,149
Neuron #:83,Susp of > 0,0.48963483,Conf of > 0,0.972849143,130,20,150
Neuron #:103,Susp of > 0,0.922510958,Conf of > 0,0.133333333,15,135,150
Neuron #:28,Susp of > 0,0.494966463,Conf of > 0,0.952316307,123,28,151
Neuron #:120,Susp of > 0,0.530337119,Conf of > 0,0.833333333,96,56,152
Neuron #:86,Susp of = 0,0.474659244,Conf of = 0,0.996097064,146,7,153
Neuron #:21,Susp of = 0,0.499279844,Conf of = 0,0.936025793,120,33,153
Neuron #:107,Susp of = 0,0.870255902,Conf of = 0,0.233333333,23,130,153
Neuron #:26,Susp of = 0,0.630840871,Conf of = 0,0.666666667,67,87,154
Neuron #:74,Susp of = 0,0.711285456,Conf of = 0,0.5,46,108,154
Neuron #:110,Susp of = 0,0.691068471,Conf of = 0,0.533333333,53,102,155
Neuron #:30,Susp of > 0,0.82423423,Conf of > 0,0.3,32,124,156
Neuron #:63,Susp of > 0,0.900657191,Conf of > 0,0.1,19,137,156
Neuron #:63,Susp of = 0,0.476450138,Conf of = 0,0.988969964,144,14,158
Neuron #:118,Susp of > 0,0.464539093,Conf of > 0,0.998981843,157,2,159
Neuron #:85,Susp of > 0,0.776450437,Conf of > 0,0.3,35,124,159
Neuron #:89,Susp of = 0,0.661736827,Conf of = 0,0.566666667,61,99,160
Neuron #:35,Susp of = 0,0.840896119,Conf of = 0,0.2,29,132,161
Neuron #:68,Susp of = 0,0.465343287,Conf of = 0,0.995757679,155,8,163
Neuron #:114,Susp of > 0,0.485655681,Conf of > 0,0.953164772,136,27,163
Neuron #:33,Susp of = 0,0.522869438,Conf of = 0,0.8,100,63,163
Neuron #:10,Susp of = 0,0.841496501,Conf of = 0,0.133333333,28,135,163
Neuron #:40,Susp of > 0,0.703551323,Conf of > 0,0.433333333,49,115,164
Neuron #:36,Susp of > 0,0.711301065,Conf of > 0,0.366666667,45,119,164
Neuron #:67,Susp of > 0,0.724489796,Conf of > 0,0.333333333,43,121,164
Neuron #:96,Susp of = 0,0.71162903,Conf of = 0,0.333333333,44,121,165
Neuron #:94,Susp of = 0,0.856167369,Conf of = 0,0.033333333,25,140,165
Neuron #:73,Susp of = 0,0.584614731,Conf of = 0,0.7,81,85,166
Neuron #:66,Susp of > 0,0.699216896,Conf of > 0,0.4,51,116,167
Neuron #:102,Susp of = 0,0.45479803,Conf of = 0,0.998981843,166,2,168
Neuron #:90,Susp of = 0,0.454924424,Conf of = 0,0.998472764,164,4,168
Neuron #:58,Susp of > 0,0.455008725,Conf of > 0,0.998133379,163,5,168
Neuron #:103,Susp of = 0,0.467088175,Conf of = 0,0.988800272,153,15,168
Neuron #:10,Susp of > 0,0.470617505,Conf of > 0,0.974885457,152,19,171
Neuron #:16,Susp of = 0,0.674202888,Conf of = 0,0.433333333,56,115,171
Neuron #:115,Susp of > 0,0.693049512,Conf of > 0,0.366666667,52,119,171
Neuron #:71,Susp of > 0,0.746610921,Conf of > 0,0.2,40,132,172
Neuron #:15,Susp of = 0,0.596596018,Conf of = 0,0.566666667,74,99,173
Neuron #:92,Susp of = 0,0.668102715,Conf of = 0,0.4,57,116,173
Neuron #:43,Susp of = 0,0.47815178,Conf of = 0,0.945867979,143,31,174
Neuron #:100,Susp of > 0,0.519427912,Conf of > 0,0.766666667,103,71,174
Neuron #:108,Susp of = 0,0.728610287,Conf of = 0,0.2,42,132,174
Neuron #:59,Susp of = 0,0.625916091,Conf of = 0,0.5,68,108,176
Neuron #:60,Susp of > 0,0.666745523,Conf of > 0,0.366666667,58,119,177
Neuron #:98,Susp of > 0,0.544197485,Conf of > 0,0.633333333,90,89,179
Neuron #:54,Susp of > 0,0.651997038,Conf of > 0,0.433333333,64,115,179
Neuron #:121,Susp of > 0,0.59011879,Conf of > 0,0.533333333,78,102,180
Neuron #:87,Susp of = 0,0.560544088,Conf of = 0,0.6,86,95,181
Neuron #:20,Susp of > 0,0.631988385,Conf of > 0,0.433333333,66,115,181
Neuron #:104,Susp of = 0,0.577308953,Conf of = 0,0.566666667,83,99,182
Neuron #:117,Susp of > 0,0.622600217,Conf of > 0,0.466666667,69,113,182
Neuron #:43,Susp of > 0,0.711242532,Conf of > 0,0.133333333,47,135,182
Neuron #:109,Susp of = 0,0.505056565,Conf of = 0,0.733333333,110,74,184
Neuron #:14,Susp of > 0,0.610574148,Conf of > 0,0.466666667,71,113,184
Neuron #:83,Susp of = 0,0.710599301,Conf of = 0,0.066666667,48,138,186
Neuron #:97,Susp of = 0,0.43863896,Conf of = 0,0.981164093,171,17,188
Neuron #:51,Susp of = 0,0.516405653,Conf of = 0,0.7,104,85,189
Neuron #:13,Susp of = 0,0.646422173,Conf of = 0,0.3,65,124,189
Neuron #:35,Susp of > 0,0.453988675,Conf of > 0,0.962158493,167,24,191
Neuron #:9,Susp of > 0,0.593573731,Conf of > 0,0.4,76,116,192
Neuron #:70,Susp of = 0,0.664524132,Conf of = 0,0.2,60,132,192
Neuron #:114,Susp of = 0,0.681035479,Conf of = 0,0.1,55,137,192
Neuron #:107,Susp of > 0,0.442678956,Conf of > 0,0.965212965,170,23,193
Neuron #:112,Susp of > 0,0.531123258,Conf of > 0,0.566666667,95,99,194
Neuron #:70,Susp of > 0,0.470856138,Conf of > 0,0.899032751,151,44,195
Neuron #:71,Susp of = 0,0.461861003,Conf of = 0,0.932122858,160,36,196
Neuron #:108,Susp of > 0,0.46363243,Conf of > 0,0.925504836,159,37,196
Neuron #:93,Susp of = 0,0.506049526,Conf of = 0,0.633333333,107,89,196
Neuron #:7,Susp of = 0,0.553177509,Conf of = 0,0.5,88,108,196
Neuron #:22,Susp of = 0,0.5875081,Conf of = 0,0.4,80,116,196
Neuron #:34,Susp of > 0,0.472641743,Conf of > 0,0.855421687,148,49,197
Neuron #:119,Susp of = 0,0.482948452,Conf of = 0,0.820804344,139,58,197
Neuron #:106,Susp of = 0,0.502993501,Conf of = 0,0.7,112,85,197
Neuron #:77,Susp of = 0,0.505843766,Conf of = 0,0.633333333,108,89,197
Neuron #:84,Susp of > 0,0.425702521,Conf of > 0,0.98930935,185,13,198
Neuron #:4,Susp of = 0,0.425158066,Conf of = 0,0.991515357,188,11,199
Neuron #:123,Susp of > 0,0.487233451,Conf of > 0,0.771763109,132,67,199
Neuron #:45,Susp of = 0,0.664899018,Conf of = 0,0.033333333,59,140,199
Neuron #:27,Susp of > 0,0.589653792,Conf of > 0,0.333333333,79,121,200
Neuron #:34,Susp of = 0,0.617428268,Conf of = 0,0.233333333,70,130,200
Neuron #:79,Susp of = 0,0.413166935,Conf of = 0,0.994230443,193,10,203
Neuron #:23,Susp of = 0,0.529327225,Conf of = 0,0.5,97,108,205
Neuron #:95,Susp of = 0,0.549951006,Conf of = 0,0.4,89,116,205
Neuron #:91,Susp of = 0,0.542214893,Conf of = 0,0.433333333,91,115,206
Neuron #:56,Susp of = 0,0.555314738,Conf of = 0,0.333333333,87,121,208
Neuron #:52,Susp of > 0,0.390268982,Conf of > 0,0.989479043,199,12,211
Neuron #:72,Susp of = 0,0.526523371,Conf of = 0,0.466666667,98,113,211
Neuron #:1,Susp of = 0,0.601756357,Conf of = 0,0.066666667,73,138,211
Neuron #:32,Susp of = 0,0.511678388,Conf of = 0,0.5,105,108,213
Neuron #:113,Susp of > 0,0.53975087,Conf of > 0,0.333333333,92,121,213
Neuron #:85,Susp of = 0,0.433805513,Conf of = 0,0.913626336,175,39,214
Neuron #:119,Susp of > 0,0.565616816,Conf of > 0,0.233333333,84,130,214
Neuron #:30,Susp of = 0,0.427866115,Conf of = 0,0.936025793,182,33,215
Neuron #:38,Susp of > 0,0.393312421,Conf of > 0,0.976921772,198,18,216
Neuron #:24,Susp of = 0,0.500027452,Conf of = 0,0.566666667,117,99,216
Neuron #:37,Susp of = 0,0.407679004,Conf of = 0,0.968606822,196,21,217
Neuron #:13,Susp of > 0,0.455756759,Conf of > 0,0.835907008,162,55,217
Neuron #:50,Susp of > 0,0.521135479,Conf of > 0,0.4,101,116,217
Neuron #:0,Susp of = 0,0.503976738,Conf of = 0,0.5,111,108,219
Neuron #:56,Susp of > 0,0.476278995,Conf of > 0,0.733073138,145,75,220
Neuron #:28,Susp of = 0,0.583003562,Conf of = 0,0.066666667,82,138,220
Neuron #:123,Susp of = 0,0.538825519,Conf of = 0,0.266666667,93,128,221
Neuron #:67,Susp of = 0,0.432926829,Conf of = 0,0.873239437,176,46,222
Neuron #:96,Susp of > 0,0.435277173,Conf of > 0,0.864924487,174,48,222
Neuron #:113,Susp of = 0,0.482242226,Conf of = 0,0.715764466,141,81,222
Neuron #:50,Susp of = 0,0.486837033,Conf of = 0,0.632445274,133,90,223
Neuron #:27,Susp of = 0,0.464674342,Conf of = 0,0.768029866,156,69,225
Neuron #:122,Susp of = 0,0.400401234,Conf of = 0,0.948413372,197,30,227
Neuron #:0,Susp of > 0,0.496085529,Conf of > 0,0.507890718,121,106,227
Neuron #:39,Susp of > 0,0.386730542,Conf of > 0,0.951467843,201,29,230
Neuron #:115,Susp of = 0,0.430564475,Conf of = 0,0.837603937,179,51,230
Neuron #:36,Susp of = 0,0.42662709,Conf of = 0,0.851179365,183,50,233
Neuron #:60,Susp of = 0,0.436762015,Conf of = 0,0.816731716,173,60,233
