Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect
61,58231,1769,97.052,426,142,568,284
127,58044,1956,96.740,263,166,429,97
49,58041,1959,96.735,185,91,276,94
115,58033,1967,96.722,226,140,366,86
101,58003,1997,96.672,291,235,526,56
96,58001,1999,96.668,294,240,534,54
30,57994,2006,96.657,115,68,183,47
13,57993,2007,96.655,253,207,460,46
83,57992,2008,96.653,163,118,281,45
55,57991,2009,96.652,116,72,188,44
17,57987,2013,96.645,125,85,210,40
46,57977,2023,96.628,133,103,236,30
44,57976,2024,96.627,125,96,221,29
86,57965,2035,96.608,218,200,418,18
63,57963,2037,96.605,128,112,240,16
22,57961,2039,96.602,135,121,256,14
125,57960,2040,96.600,86,73,159,13
19,57951,2049,96.585,300,296,596,4
124,57951,2049,96.585,171,167,338,4
107,57948,2052,96.580,188,187,375,1
36,57945,2055,96.575,124,126,250,-2
69,57943,2057,96.572,52,56,108,-4
72,57936,2064,96.560,136,147,283,-11
67,57933,2067,96.555,166,180,346,-14
111,57933,2067,96.555,209,223,432,-14
43,57932,2068,96.553,93,108,201,-15
16,57931,2069,96.552,100,116,216,-16
28,57930,2070,96.550,157,174,331,-17
66,57929,2071,96.548,86,104,190,-18
35,57927,2073,96.545,144,164,308,-20
50,57926,2074,96.543,74,95,169,-21
9,57924,2076,96.540,107,130,237,-23
18,57923,2077,96.538,128,152,280,-24
102,57921,2079,96.535,148,174,322,-26
29,57919,2081,96.532,94,122,216,-28
119,57919,2081,96.532,59,87,146,-28
70,57917,2083,96.528,109,139,248,-30
5,57913,2087,96.522,63,97,160,-34
56,57910,2090,96.517,59,96,155,-37
118,57910,2090,96.517,137,174,311,-37
10,57909,2091,96.515,198,236,434,-38
75,57903,2097,96.505,204,248,452,-44
78,57903,2097,96.505,123,167,290,-44
95,57903,2097,96.505,93,137,230,-44
114,57899,2101,96.498,127,175,302,-48
65,57895,2105,96.492,202,254,456,-52
106,57895,2105,96.492,118,170,288,-52
39,57894,2106,96.490,92,145,237,-53
87,57886,2114,96.477,162,223,385,-61
110,57886,2114,96.477,134,195,329,-61
4,57885,2115,96.475,121,183,304,-62
116,57884,2116,96.473,68,131,199,-63
100,57880,2120,96.467,113,180,293,-67
128,57879,2121,96.465,92,160,252,-68
3,57874,2126,96.457,85,158,243,-73
57,57873,2127,96.455,204,278,482,-74
81,57873,2127,96.455,120,194,314,-74
113,57872,2128,96.453,177,252,429,-75
88,57869,2131,96.448,130,208,338,-78
64,57867,2133,96.445,78,158,236,-80
122,57866,2134,96.443,213,294,507,-81
34,57861,2139,96.435,246,332,578,-86
20,57860,2140,96.433,99,186,285,-87
52,57859,2141,96.432,77,165,242,-88
27,57851,2149,96.418,151,247,398,-96
58,57851,2149,96.418,141,237,378,-96
