Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect,Random
33,57959,2041,96.598,19,7,26,12,0.262184489
44,57957,2043,96.595,13,3,16,10,0.273362671
87,57957,2043,96.595,17,7,24,10,0.269231513
18,57956,2044,96.593,11,2,13,9,-0.328912861
34,57956,2044,96.593,13,4,17,9,-0.797569243
43,57956,2044,96.593,15,6,21,9,-0.9331439
93,57956,2044,96.593,14,5,19,9,0.423336895
97,57954,2046,96.590,17,10,27,7,-0.449503104
118,57954,2046,96.590,17,10,27,7,0.98720309
124,57954,2046,96.590,12,5,17,7,-0.129748444
6,57953,2047,96.588,12,6,18,6,-0.405485874
16,57953,2047,96.588,9,3,12,6,0.196700673
21,57953,2047,96.588,15,9,24,6,0.760672091
25,57953,2047,96.588,19,13,32,6,0.374895136
35,57953,2047,96.588,21,15,36,6,-0.574073964
40,57953,2047,96.588,15,9,24,6,0.185893171
53,57953,2047,96.588,19,13,32,6,0.182264662
55,57953,2047,96.588,15,9,24,6,0.13164146
81,57953,2047,96.588,13,7,20,6,0.305893592
17,57952,2048,96.587,11,6,17,5,-0.280733758
32,57952,2048,96.587,11,6,17,5,-0.688933399
72,57952,2048,96.587,11,6,17,5,-0.853904744
95,57952,2048,96.587,11,6,17,5,0.708885376
105,57952,2048,96.587,9,4,13,5,0.568125605
114,57952,2048,96.587,16,11,27,5,0.594937315
117,57952,2048,96.587,7,2,9,5,-0.794421715
120,57952,2048,96.587,21,16,37,5,-0.722900105
127,57952,2048,96.587,20,15,35,5,0.676081178
11,57951,2049,96.585,11,7,18,4,0.104745886
24,57951,2049,96.585,20,16,36,4,0.155138439
67,57951,2049,96.585,11,7,18,4,0.805031897
123,57951,2049,96.585,5,1,6,4,0.404926548
125,57951,2049,96.585,9,5,14,4,-0.644272251
9,57950,2050,96.583,12,9,21,3,-0.23001646
28,57950,2050,96.583,14,11,25,3,-0.676954973
58,57950,2050,96.583,15,12,27,3,0.865215866
83,57950,2050,96.583,12,9,21,3,0.219363762
94,57950,2050,96.583,14,11,25,3,0.426222988
100,57950,2050,96.583,5,2,7,3,0.327496497
111,57950,2050,96.583,17,14,31,3,0.893888549
119,57950,2050,96.583,8,5,13,3,0.455491506
3,57949,2051,96.582,9,7,16,2,-0.7872003
8,57949,2051,96.582,14,12,26,2,-0.804404879
47,57949,2051,96.582,3,1,4,2,-0.41313385
56,57949,2051,96.582,5,3,8,2,0.584123894
65,57949,2051,96.582,11,9,20,2,0.477983508
69,57949,2051,96.582,8,6,14,2,-0.950694972
70,57949,2051,96.582,5,3,8,2,-0.846262348
75,57949,2051,96.582,13,11,24,2,-0.275024837
77,57949,2051,96.582,5,3,8,2,0.544080161
79,57949,2051,96.582,11,9,20,2,0.856057041
84,57949,2051,96.582,8,6,14,2,-0.128439146
85,57949,2051,96.582,2,0,2,2,-0.209472301
89,57949,2051,96.582,9,7,16,2,-0.851392353
116,57949,2051,96.582,11,9,20,2,0.090025528
10,57948,2052,96.580,4,3,7,1,-0.296592511
12,57948,2052,96.580,3,2,5,1,-0.653870096
