Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect
22,59396,604,98.993,3,0,3,3
115,59396,604,98.993,4,1,5,3
119,59396,604,98.993,3,0,3,3
7,59395,605,98.992,3,1,4,2
20,59395,605,98.992,3,1,4,2
40,59395,605,98.992,2,0,2,2
43,59395,605,98.992,2,0,2,2
60,59395,605,98.992,2,0,2,2
66,59395,605,98.992,2,0,2,2
69,59395,605,98.992,2,0,2,2
70,59395,605,98.992,2,0,2,2
72,59395,605,98.992,2,0,2,2
77,59395,605,98.992,2,0,2,2
84,59395,605,98.992,2,0,2,2
85,59395,605,98.992,2,0,2,2
89,59395,605,98.992,2,0,2,2
114,59395,605,98.992,2,0,2,2
125,59395,605,98.992,3,1,4,2
1,59394,606,98.990,1,0,1,1
2,59394,606,98.990,1,0,1,1
6,59394,606,98.990,2,1,3,1
15,59394,606,98.990,2,1,3,1
18,59394,606,98.990,2,1,3,1
23,59394,606,98.990,1,0,1,1
25,59394,606,98.990,1,0,1,1
26,59394,606,98.990,1,0,1,1
27,59394,606,98.990,2,1,3,1
46,59394,606,98.990,2,1,3,1
50,59394,606,98.990,2,1,3,1
61,59394,606,98.990,1,0,1,1
63,59394,606,98.990,2,1,3,1
65,59394,606,98.990,1,0,1,1
67,59394,606,98.990,1,0,1,1
81,59394,606,98.990,2,1,3,1
86,59394,606,98.990,1,0,1,1
98,59394,606,98.990,1,0,1,1
107,59394,606,98.990,1,0,1,1
111,59394,606,98.990,3,2,5,1
3,59393,607,98.988,1,1,2,0
4,59393,607,98.988,0,0,0,0
8,59393,607,98.988,0,0,0,0
9,59393,607,98.988,0,0,0,0
10,59393,607,98.988,0,0,0,0
11,59393,607,98.988,0,0,0,0
12,59393,607,98.988,1,1,2,0
14,59393,607,98.988,0,0,0,0
16,59393,607,98.988,1,1,2,0
17,59393,607,98.988,0,0,0,0
28,59393,607,98.988,0,0,0,0
33,59393,607,98.988,0,0,0,0
37,59393,607,98.988,0,0,0,0
38,59393,607,98.988,0,0,0,0
39,59393,607,98.988,0,0,0,0
42,59393,607,98.988,0,0,0,0
44,59393,607,98.988,0,0,0,0
45,59393,607,98.988,1,1,2,0
47,59393,607,98.988,1,1,2,0
48,59393,607,98.988,0,0,0,0
52,59393,607,98.988,0,0,0,0
54,59393,607,98.988,0,0,0,0
59,59393,607,98.988,2,2,4,0
64,59393,607,98.988,0,0,0,0
68,59393,607,98.988,0,0,0,0
71,59393,607,98.988,0,0,0,0
73,59393,607,98.988,0,0,0,0
74,59393,607,98.988,0,0,0,0
75,59393,607,98.988,1,1,2,0
76,59393,607,98.988,0,0,0,0
79,59393,607,98.988,0,0,0,0
82,59393,607,98.988,0,0,0,0
83,59393,607,98.988,0,0,0,0
88,59393,607,98.988,0,0,0,0
90,59393,607,98.988,0,0,0,0
92,59393,607,98.988,0,0,0,0
93,59393,607,98.988,0,0,0,0
94,59393,607,98.988,0,0,0,0
95,59393,607,98.988,0,0,0,0
99,59393,607,98.988,1,1,2,0
101,59393,607,98.988,0,0,0,0
102,59393,607,98.988,0,0,0,0
103,59393,607,98.988,0,0,0,0
104,59393,607,98.988,0,0,0,0
108,59393,607,98.988,1,1,2,0
109,59393,607,98.988,0,0,0,0
112,59393,607,98.988,0,0,0,0
116,59393,607,98.988,0,0,0,0
120,59393,607,98.988,0,0,0,0
122,59393,607,98.988,1,1,2,0
123,59393,607,98.988,0,0,0,0
124,59393,607,98.988,0,0,0,0
126,59393,607,98.988,0,0,0,0
127,59393,607,98.988,0,0,0,0
128,59393,607,98.988,0,0,0,0
5,59392,608,98.987,0,1,1,-1
13,59392,608,98.987,0,1,1,-1
19,59392,608,98.987,0,1,1,-1
21,59392,608,98.987,0,1,1,-1
29,59392,608,98.987,0,1,1,-1
35,59392,608,98.987,0,1,1,-1
49,59392,608,98.987,0,1,1,-1
51,59392,608,98.987,0,1,1,-1
53,59392,608,98.987,1,2,3,-1
55,59392,608,98.987,0,1,1,-1
57,59392,608,98.987,0,1,1,-1
58,59392,608,98.987,0,1,1,-1
62,59392,608,98.987,0,1,1,-1
78,59392,608,98.987,2,3,5,-1
91,59392,608,98.987,0,1,1,-1
96,59392,608,98.987,2,3,5,-1
100,59392,608,98.987,0,1,1,-1
113,59392,608,98.987,0,1,1,-1
118,59392,608,98.987,4,5,9,-1
24,59391,609,98.985,1,3,4,-2
30,59391,609,98.985,1,3,4,-2
31,59391,609,98.985,0,2,2,-2
41,59391,609,98.985,0,2,2,-2
56,59391,609,98.985,0,2,2,-2
80,59391,609,98.985,0,2,2,-2
87,59391,609,98.985,0,2,2,-2
97,59391,609,98.985,1,3,4,-2
105,59391,609,98.985,0,2,2,-2
106,59391,609,98.985,1,3,4,-2
32,59390,610,98.983,0,3,3,-3
110,59390,610,98.983,0,3,3,-3
117,59390,610,98.983,1,4,5,-3
121,59390,610,98.983,0,3,3,-3
34,59389,611,98.982,0,4,4,-4
36,59389,611,98.982,0,4,4,-4
,,,,,,,
Minimum,59389,604,98.982,0,0,0,-4
Maximum,59396,611,98.993,4,5,9,3
Average,59393,607,98.988,0.766,0.766,1.53125,0
,,,,,,,
Original,59393,607,98.988,,,,
