Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect
5,59397,603,98.995,4,0,4,4
24,59397,603,98.995,5,1,6,4
75,59397,603,98.995,4,0,4,4
36,59396,604,98.993,3,0,3,3
86,59396,604,98.993,3,0,3,3
117,59396,604,98.993,3,0,3,3
25,59395,605,98.992,2,0,2,2
30,59395,605,98.992,3,1,4,2
32,59395,605,98.992,3,1,4,2
34,59395,605,98.992,2,0,2,2
49,59395,605,98.992,2,0,2,2
59,59395,605,98.992,2,0,2,2
63,59395,605,98.992,2,0,2,2
74,59395,605,98.992,3,1,4,2
98,59395,605,98.992,2,0,2,2
106,59395,605,98.992,3,1,4,2
1,59394,606,98.990,1,0,1,1
2,59394,606,98.990,2,1,3,1
3,59394,606,98.990,1,0,1,1
6,59394,606,98.990,1,0,1,1
21,59394,606,98.990,2,1,3,1
22,59394,606,98.990,2,1,3,1
40,59394,606,98.990,2,1,3,1
45,59394,606,98.990,1,0,1,1
76,59394,606,98.990,1,0,1,1
83,59394,606,98.990,2,1,3,1
88,59394,606,98.990,1,0,1,1
96,59394,606,98.990,1,0,1,1
97,59394,606,98.990,1,0,1,1
100,59394,606,98.990,1,0,1,1
120,59394,606,98.990,1,0,1,1
4,59393,607,98.988,0,0,0,0
8,59393,607,98.988,0,0,0,0
10,59393,607,98.988,0,0,0,0
11,59393,607,98.988,0,0,0,0
13,59393,607,98.988,1,1,2,0
19,59393,607,98.988,0,0,0,0
23,59393,607,98.988,0,0,0,0
26,59393,607,98.988,0,0,0,0
33,59393,607,98.988,1,1,2,0
35,59393,607,98.988,0,0,0,0
38,59393,607,98.988,1,1,2,0
39,59393,607,98.988,0,0,0,0
41,59393,607,98.988,0,0,0,0
42,59393,607,98.988,0,0,0,0
43,59393,607,98.988,1,1,2,0
44,59393,607,98.988,0,0,0,0
48,59393,607,98.988,0,0,0,0
51,59393,607,98.988,1,1,2,0
53,59393,607,98.988,0,0,0,0
54,59393,607,98.988,0,0,0,0
56,59393,607,98.988,2,2,4,0
57,59393,607,98.988,0,0,0,0
60,59393,607,98.988,0,0,0,0
62,59393,607,98.988,0,0,0,0
64,59393,607,98.988,0,0,0,0
65,59393,607,98.988,0,0,0,0
66,59393,607,98.988,0,0,0,0
67,59393,607,98.988,1,1,2,0
69,59393,607,98.988,0,0,0,0
71,59393,607,98.988,0,0,0,0
72,59393,607,98.988,0,0,0,0
73,59393,607,98.988,0,0,0,0
79,59393,607,98.988,0,0,0,0
80,59393,607,98.988,0,0,0,0
84,59393,607,98.988,0,0,0,0
85,59393,607,98.988,0,0,0,0
90,59393,607,98.988,0,0,0,0
91,59393,607,98.988,0,0,0,0
92,59393,607,98.988,1,1,2,0
93,59393,607,98.988,0,0,0,0
94,59393,607,98.988,0,0,0,0
95,59393,607,98.988,0,0,0,0
99,59393,607,98.988,0,0,0,0
101,59393,607,98.988,0,0,0,0
103,59393,607,98.988,0,0,0,0
104,59393,607,98.988,0,0,0,0
105,59393,607,98.988,0,0,0,0
109,59393,607,98.988,0,0,0,0
110,59393,607,98.988,1,1,2,0
112,59393,607,98.988,0,0,0,0
113,59393,607,98.988,0,0,0,0
115,59393,607,98.988,0,0,0,0
116,59393,607,98.988,0,0,0,0
118,59393,607,98.988,2,2,4,0
122,59393,607,98.988,0,0,0,0
124,59393,607,98.988,0,0,0,0
125,59393,607,98.988,0,0,0,0
126,59393,607,98.988,0,0,0,0
127,59393,607,98.988,0,0,0,0
128,59393,607,98.988,0,0,0,0
7,59392,608,98.987,2,3,5,-1
9,59392,608,98.987,1,2,3,-1
12,59392,608,98.987,0,1,1,-1
14,59392,608,98.987,1,2,3,-1
16,59392,608,98.987,0,1,1,-1
17,59392,608,98.987,0,1,1,-1
18,59392,608,98.987,1,2,3,-1
28,59392,608,98.987,0,1,1,-1
29,59392,608,98.987,0,1,1,-1
31,59392,608,98.987,0,1,1,-1
37,59392,608,98.987,0,1,1,-1
47,59392,608,98.987,1,2,3,-1
52,59392,608,98.987,0,1,1,-1
55,59392,608,98.987,0,1,1,-1
61,59392,608,98.987,0,1,1,-1
70,59392,608,98.987,0,1,1,-1
78,59392,608,98.987,0,1,1,-1
81,59392,608,98.987,1,2,3,-1
82,59392,608,98.987,0,1,1,-1
87,59392,608,98.987,0,1,1,-1
102,59392,608,98.987,1,2,3,-1
114,59392,608,98.987,0,1,1,-1
121,59392,608,98.987,1,2,3,-1
15,59391,609,98.985,0,2,2,-2
20,59391,609,98.985,1,3,4,-2
27,59391,609,98.985,0,2,2,-2
46,59391,609,98.985,0,2,2,-2
58,59391,609,98.985,0,2,2,-2
111,59391,609,98.985,0,2,2,-2
119,59391,609,98.985,0,2,2,-2
123,59391,609,98.985,0,2,2,-2
68,59390,610,98.983,0,3,3,-3
77,59390,610,98.983,0,3,3,-3
107,59390,610,98.983,1,4,5,-3
108,59390,610,98.983,0,3,3,-3
50,59389,611,98.982,1,5,6,-4
89,59388,612,98.980,0,5,5,-5
,,,,,,,
Minimum,59388,603,98.98,0,0,0,-5
Maximum,59397,612,98.995,5,5,6,4
Average,59392.969,607.031,98.988,0.703,0.734,1.438,-0.031
,,,,,,,
Original,59393,607,98.988,,,,
