Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect
65,59404,596,99.007,13,2,15,11
64,59401,599,99.002,16,8,24,8
68,59401,599,99.002,16,8,24,8
128,59401,599,99.002,12,4,16,8
104,59398,602,98.997,11,6,17,5
42,59392,608,98.987,9,10,19,-1
71,59387,613,98.978,9,15,24,-6
109,59387,613,98.978,11,17,28,-6
62,59386,614,98.977,18,25,43,-7
126,59385,615,98.975,16,24,40,-8
54,59383,617,98.972,15,25,40,-10
40,59382,618,98.970,12,23,35,-11
43,59380,620,98.967,12,25,37,-13
39,59379,621,98.965,12,26,38,-14
90,59379,621,98.965,17,31,48,-14
4,59376,624,98.960,6,23,29,-17
85,59372,628,98.953,9,30,39,-21
124,59372,628,98.953,10,31,41,-21
77,59371,629,98.952,17,39,56,-22
9,59368,632,98.947,12,37,49,-25
94,59367,633,98.945,13,39,52,-26
79,59366,634,98.943,7,34,41,-27
26,59365,635,98.942,14,42,56,-28
108,59365,635,98.942,17,45,62,-28
38,59364,636,98.940,21,50,71,-29
1,59360,640,98.933,18,51,69,-33
110,59358,642,98.930,8,43,51,-35
107,59356,644,98.927,16,53,69,-37
7,59354,646,98.923,9,48,57,-39
44,59354,646,98.923,24,63,87,-39
105,59352,648,98.920,16,57,73,-41
20,59351,649,98.918,12,54,66,-42
75,59350,650,98.917,18,61,79,-43
29,59349,651,98.915,23,67,90,-44
88,59348,652,98.913,9,54,63,-45
22,59344,656,98.907,14,63,77,-49
59,59344,656,98.907,16,65,81,-49
87,59344,656,98.907,12,61,73,-49
57,59342,658,98.903,11,62,73,-51
102,59342,658,98.903,23,74,97,-51
113,59342,658,98.903,15,66,81,-51
33,59341,659,98.902,9,61,70,-52
12,59338,662,98.897,9,64,73,-55
2,59336,664,98.893,17,74,91,-57
15,59335,665,98.892,11,69,80,-58
27,59334,666,98.890,18,77,95,-59
95,59334,666,98.890,33,92,125,-59
56,59330,670,98.883,19,82,101,-63
114,59329,671,98.882,11,75,86,-64
96,59326,674,98.877,11,78,89,-67
74,59316,684,98.860,19,96,115,-77
115,59316,684,98.860,24,101,125,-77
31,59315,685,98.858,14,92,106,-78
32,59314,686,98.857,9,88,97,-79
106,59314,686,98.857,15,94,109,-79
51,59311,689,98.852,16,98,114,-82
112,59311,689,98.852,33,115,148,-82
13,59310,690,98.850,16,99,115,-83
53,59309,691,98.848,18,102,120,-84
14,59302,698,98.837,26,117,143,-91
125,59301,699,98.835,10,102,112,-92
127,59300,700,98.833,17,110,127,-93
48,59296,704,98.827,11,108,119,-97
3,59290,710,98.817,19,122,141,-103
16,59289,711,98.815,14,118,132,-104
66,59277,723,98.795,6,122,128,-116
91,59272,728,98.787,11,132,143,-121
11,59268,732,98.780,15,140,155,-125
116,59260,740,98.767,15,148,163,-133
30,59256,744,98.760,24,161,185,-137
37,59256,744,98.760,17,154,171,-137
81,59244,756,98.740,16,165,181,-149
46,59241,759,98.735,19,171,190,-152
67,59238,762,98.730,9,164,173,-155
52,59230,770,98.717,24,187,211,-163
101,59230,770,98.717,15,178,193,-163
45,59225,775,98.708,16,184,200,-168
70,59224,776,98.707,17,186,203,-169
78,59216,784,98.693,11,188,199,-177
103,59216,784,98.693,28,205,233,-177
47,59206,794,98.677,12,199,211,-187
80,59188,812,98.647,7,212,219,-205
83,59176,824,98.627,20,237,257,-217
35,59174,826,98.623,14,233,247,-219
121,59154,846,98.590,35,274,309,-239
123,59137,863,98.562,17,273,290,-256
117,59132,868,98.553,20,281,301,-261
36,59098,902,98.497,27,322,349,-295
92,59084,916,98.473,13,322,335,-309
76,59080,920,98.467,26,339,365,-313
97,59074,926,98.457,18,337,355,-319
61,59020,980,98.367,4,377,381,-373
111,59013,987,98.355,14,394,408,-380
24,59005,995,98.342,22,410,432,-388
69,59004,996,98.340,24,413,437,-389
49,58977,1023,98.295,21,437,458,-416
86,58971,1029,98.285,14,436,450,-422
34,58958,1042,98.263,26,461,487,-435
18,58937,1063,98.228,20,476,496,-456
82,58932,1068,98.220,23,484,507,-461
58,58930,1070,98.217,30,493,523,-463
89,58922,1078,98.203,14,485,499,-471
5,58881,1119,98.135,22,534,556,-512
63,58868,1132,98.113,27,552,579,-525
118,58852,1148,98.087,22,563,585,-541
19,58831,1169,98.052,8,570,578,-562
23,58829,1171,98.048,11,575,586,-564
28,58829,1171,98.048,18,582,600,-564
93,58786,1214,97.977,36,643,679,-607
21,58751,1249,97.918,15,657,672,-642
60,58733,1267,97.888,15,675,690,-660
99,58731,1269,97.885,19,681,700,-662
50,58709,1291,97.848,25,709,734,-684
122,58629,1371,97.715,9,773,782,-764
98,58610,1390,97.683,24,807,831,-783
55,58577,1423,97.628,18,834,852,-816
120,58566,1434,97.610,24,851,875,-827
6,58565,1435,97.608,10,838,848,-828
25,58458,1542,97.430,24,959,983,-935
100,58292,1708,97.153,17,1118,1135,-1101
10,58198,1802,96.997,25,1220,1245,-1195
8,58119,1881,96.865,32,1306,1338,-1274
72,57963,2037,96.605,7,1437,1444,-1430
41,57569,2431,95.948,26,1850,1876,-1824
84,56370,3630,93.950,19,3042,3061,-3023
73,55056,4944,91.760,30,4367,4397,-4337
119,52913,7087,88.188,30,6510,6540,-6480
17,52685,7315,87.808,20,6728,6748,-6708
,,,,,,,
Minimum,52685,596,87.80833333,4,2,15,-6708
Maximum,59404,7315,99.00666667,36,6728,6748,11
Average,58991.508,1008.492,98.319,16.914,418.406,435.320,-401.492
,,,,,,,
Original,59393,607,98.988,,,,
