Neuron,Pass,Fail,Accuracy,Fail changed to Pass,Pass changed to Fail,Total Decisions effected,Net Effect,
22,59396,604,98.993,3,0,3,3,0.273495427
32,59396,604,98.993,3,0,3,3,0.673795202
69,59395,605,98.992,2,0,2,2,0.503452346
72,59395,605,98.992,2,0,2,2,-0.299752663
75,59395,605,98.992,2,0,2,2,-0.263386141
96,59395,605,98.992,2,0,2,2,-0.922482958
98,59395,605,98.992,2,0,2,2,-0.457466679
3,59394,606,98.990,1,0,1,1,-0.946254457
5,59394,606,98.990,1,0,1,1,-0.616813423
6,59394,606,98.990,1,0,1,1,-0.099362764
20,59394,606,98.990,2,1,3,1,0.257181243
25,59394,606,98.990,1,0,1,1,-0.276298423
26,59394,606,98.990,1,0,1,1,-0.90532755
46,59394,606,98.990,2,1,3,1,0.511276269
49,59394,606,98.990,1,0,1,1,0.099922691
51,59394,606,98.990,1,0,1,1,-0.739392164
60,59394,606,98.990,1,0,1,1,0.648169613
74,59394,606,98.990,1,0,1,1,0.426652872
81,59394,606,98.990,2,1,3,1,0.820078455
84,59394,606,98.990,1,0,1,1,0.923171068
85,59394,606,98.990,1,0,1,1,0.122832383
86,59394,606,98.990,1,0,1,1,0.097875283
88,59394,606,98.990,1,0,1,1,-0.378357073
100,59394,606,98.990,1,0,1,1,0.119629224
106,59394,606,98.990,1,0,1,1,-0.176591337
114,59394,606,98.990,1,0,1,1,0.683370363
122,59394,606,98.990,1,0,1,1,-0.230929413
125,59394,606,98.990,1,0,1,1,0.157697469
1,59393,607,98.988,0,0,0,0,-0.153791653
2,59393,607,98.988,1,1,2,0,-0.634397474
4,59393,607,98.988,0,0,0,0,0.817055628
7,59393,607,98.988,1,1,2,0,0.038360844
8,59393,607,98.988,0,0,0,0,0.585374563
10,59393,607,98.988,0,0,0,0,0.761315437
11,59393,607,98.988,0,0,0,0,-0.034919958
12,59393,607,98.988,0,0,0,0,-0.572971799
14,59393,607,98.988,0,0,0,0,-0.122898444
16,59393,607,98.988,0,0,0,0,0.88964491
17,59393,607,98.988,0,0,0,0,-0.256799051
18,59393,607,98.988,1,1,2,0,-0.086211988
19,59393,607,98.988,0,0,0,0,-0.914656444
21,59393,607,98.988,0,0,0,0,0.843600414
23,59393,607,98.988,0,0,0,0,0.089965059
28,59393,607,98.988,0,0,0,0,0.524479557
31,59393,607,98.988,0,0,0,0,0.288341218
35,59393,607,98.988,0,0,0,0,0.711141729
36,59393,607,98.988,1,1,2,0,-0.77286217
37,59393,607,98.988,0,0,0,0,-0.494195865
38,59393,607,98.988,0,0,0,0,0.756430565
39,59393,607,98.988,0,0,0,0,-0.103738663
40,59393,607,98.988,1,1,2,0,0.150104611
42,59393,607,98.988,0,0,0,0,-0.465464128
44,59393,607,98.988,0,0,0,0,-0.855379217
45,59393,607,98.988,0,0,0,0,-0.921964128
48,59393,607,98.988,0,0,0,0,-0.351060228
52,59393,607,98.988,0,0,0,0,0.837643136
54,59393,607,98.988,0,0,0,0,0.022660399
56,59393,607,98.988,0,0,0,0,-0.378359502
57,59393,607,98.988,0,0,0,0,-0.153943958
59,59393,607,98.988,0,0,0,0,-0.284856218
61,59393,607,98.988,0,0,0,0,0.371614016
62,59393,607,98.988,0,0,0,0,0.577860134
63,59393,607,98.988,1,1,2,0,-0.9421295
64,59393,607,98.988,0,0,0,0,0.300796424
65,59393,607,98.988,0,0,0,0,0.593587433
66,59393,607,98.988,0,0,0,0,-0.379399475
67,59393,607,98.988,1,1,2,0,0.563209626
